store_name,1st_tag,1st_score,2nd_tag,2nd_score
9.81파크 제주,#이색체험,0.45,#액티비티,0.34
N서울타워,#뷰맛집,0.37,#야경명소,0.19
감천문화마을,#역사탐방,0.19,#사진명소,0.16
강릉선교장,#휴식하기좋은,0.21,#산책하기좋은,0.19
갯골생태공원,#휴식하기좋은,0.29,#산책하기좋은,0.28
거제식물원,#사진명소,0.25,#계절명소,0.2
경복궁,#계절명소,0.3,#사진명소,0.19
경주대릉원,#산책하기좋은,0.34,#휴식하기좋은,0.34
경주월드,#이색체험,0.36,#액티비티,0.32
경포해변,#뷰맛집,0.41,#계절명소,0.19
광교호수공원,#산책하기좋은,0.37,#휴식하기좋은,0.37
광명동굴,#실내데이트,0.34,#아이와함께,0.28
광안리해수욕장,#뷰맛집,0.35,#계절명소,0.28
광한루원,#휴식하기좋은,0.24,#산책하기좋은,0.21
국립수목원,#계절명소,0.35,#휴식하기좋은,0.35
국립중앙과학관,#아이와함께,0.3,#이색체험,0.21
국립중앙박물관,#전시관람,0.55,#접근성좋은,0.21
국립현대미술관 서울,#전시관람,0.75,#힐링코스,0.1
김유정 레일바이크,#이색체험,0.21,#뷰맛집,0.21
낙산공원,#뷰맛집,0.25,#산책하기좋은,0.25
낙산사,#뷰맛집,0.28,#주차편함,0.2
남부시장,#주차편함,0.27,#가성비갑,0.07
남이섬,#계절명소,0.33,#휴식하기좋은,0.21
남해독일마을,#뷰맛집,0.29,#휴식하기좋은,0.13
농협경제지주 안성팜랜드,#아이와함께,0.6,#이색체험,0.42
다누리아쿠아리움,#아이와함께,0.33,#이색체험,0.16
다대포해수욕장,#뷰맛집,0.28,#산책하기좋은,0.26
대관령 삼양라운드힐,#뷰맛집,0.35,#계절명소,0.25
대관령양떼목장,#계절명소,0.28,#이색체험,0.23
대왕암공원,#산책하기좋은,0.23,#휴식하기좋은,0.21
대전오월드,#아이와함께,0.45,#액티비티,0.3
대천해수욕장,#뷰맛집,0.38,#계절명소,0.21
대포주상절리,#뷰맛집,0.23,#무료입장,0.12
대한다원보성녹차밭,#뷰맛집,0.24,#사진명소,0.18
더그림,#사진명소,0.62,#계절명소,0.28
덕수궁,#계절명소,0.3,#휴식하기좋은,0.25
도담삼봉,#뷰맛집,0.24,#주차편함,0.16
도산서원,#뷰맛집,0.17,#계절명소,0.13
독립기념관,#전시관람,0.19,#아이와함께,0.16
동궁과 월지,#야경명소,0.58,#사진명소,0.26
동문시장,#찐맛집,0.17,#친절해요,0.11
두물머리,#휴식하기좋은,0.29,#계절명소,0.27
레고랜드 코리아,#아이와함께,0.46,#웨이팅필수,0.22
롯데월드 아쿠아리움,#아이와함께,0.37,#이색체험,0.18
롯데월드 어드벤처,#아이와함께,0.27,#웨이팅필수,0.19
롯데월드 어드벤처 부산,#아이와함께,0.33,#액티비티,0.27
만천하스카이워크,#뷰맛집,0.4,#접근성좋은,0.22
망원시장,#친절해요,0.07,#가성비갑,0.07
매미성,#뷰맛집,0.36,#사진명소,0.25
메타세쿼이아가로수길,#산책하기좋은,0.28,#휴식하기좋은,0.24
메타프로방스,#찐맛집,0.04,#디저트맛집,0.04
목포근대역사관 1관,#접근성좋은,0.23,#역사탐방,0.23
목포해상케이블카 북항승강장,#뷰맛집,0.44,#웨이팅필수,0.24
문경 에코월드,#아이와함께,0.55,#이색체험,0.23
문경새재도립공원,#산책하기좋은,0.31,#계절명소,0.22
문화역서울284,#전시관람,0.34,#접근성좋은,0.31
뮤지엄산,#전시관람,0.41,#계절명소,0.23
바람의언덕,#뷰맛집,0.36,#사진명소,0.15
발왕산 기 스카이워크,#뷰맛집,0.42,#계절명소,0.3
법주사,#계절명소,0.15,#산책하기좋은,0.12
벽초지수목원,#계절명소,0.4,#사진명소,0.25
별마로천문대,#뷰맛집,0.19,#디저트맛집,0.16
봉은사,#힐링코스,0.13,#휴식하기좋은,0.1
부산시민공원,#휴식하기좋은,0.3,#산책하기좋은,0.29
부산엑스더스카이,#뷰맛집,0.48,#야경명소,0.19
부산타워,#뷰맛집,0.26,#야경명소,0.25
부소산성,#산책하기좋은,0.24,#휴식하기좋은,0.22
북촌 한옥마을,#사진명소,0.13,#휴식하기좋은,0.12
불국사,#계절명소,0.26,#주차편함,0.15
비봉공룡공원,#아이와함께,0.61,#이색체험,0.29
비자림,#산책하기좋은,0.48,#휴식하기좋은,0.4
뽀로로앤타요테마파크 월미도점,#아이와함께,0.57,#이색체험,0.35
쁘띠프랑스,#아이와함께,0.37,#사진명소,0.34
사천바다케이블카,#뷰맛집,0.55,#계절명소,0.15
산굼부리,#뷰맛집,0.31,#계절명소,0.3
산방산 탄산온천,#실내데이트,0.17,#청결한,0.13
삼척해양레일바이크 궁촌정거장,#뷰맛집,0.28,#이색체험,0.15
삽교호놀이동산,#아이와함께,0.18,#액티비티,0.13
상동호수공원,#산책하기좋은,0.17,#휴식하기좋은,0.17
서귀포매일올레시장,#주차편함,0.15,#찐맛집,0.07
서대문형무소역사관,#접근성좋은,0.25,#역사탐방,0.24
서울대공원,#계절명소,0.28,#아이와함께,0.26
서울랜드,#아이와함께,0.34,#액티비티,0.23
서울숲,#계절명소,0.49,#휴식하기좋은,0.43
서울스카이,#뷰맛집,0.35,#야경명소,0.2
서울식물원,#계절명소,0.29,#휴식하기좋은,0.19
서울어린이대공원,#아이와함께,0.41,#액티비티,0.27
서피비치,#친절해요,0.29,#이색체험,0.22
서해랑 제부도해상케이블카,#뷰맛집,0.29,#아이와함께,0.21
석굴암,#사진명소,0.15,#주차편함,0.14
